date,exmn_ymd,item_cd,mrkt_cd,ctgry_cd,ctgry_nm,item_nm,price_type,split,log_price,price
2025-01-09,20250109,112,240121,100,식량작물,찹쌀,wholesale,test,11.832376547824003,138000.0
2025-01-10,20250110,112,240121,100,식량작물,찹쌀,wholesale,test,11.832376547824003,138000.0
2025-01-13,20250113,112,240121,100,식량작물,찹쌀,wholesale,test,11.832376547824003,138000.0
2024-01-02,20240102,112,240401,100,식량작물,찹쌀,retail,train,8.003028666384733,2990.0
2025-01-02,20250102,112,240401,100,식량작물,찹쌀,retail,test,8.29154650988391,3990.0
2024-01-02,20240102,112,240402,100,식량작물,찹쌀,retail,train,8.226840890408578,3740.0
2025-01-02,20250102,112,240402,100,식량작물,찹쌀,retail,test,8.373322820996535,4330.0
2024-01-02,20240102,112,250112,100,식량작물,찹쌀,retail,train,8.373322820996535,4330.0
2025-01-02,20250102,112,250112,100,식량작물,찹쌀,retail,test,8.405143687607614,4470.0
2024-01-02,20240102,112,250114,100,식량작물,찹쌀,wholesale,train,11.603168735394341,109500.0
2024-01-03,20240103,112,250114,100,식량작물,찹쌀,wholesale,train,11.603168735394341,109500.0
2024-01-04,20240104,112,250114,100,식량작물,찹쌀,wholesale,train,11.603168735394341,109500.0
2024-01-05,20240105,112,250114,100,식량작물,찹쌀,wholesale,train,11.603168735394341,109500.0
2024-01-08,20240108,112,250114,100,식량작물,찹쌀,wholesale,train,11.603168735394341,109500.0
2024-01-09,20240109,112,250114,100,식량작물,찹쌀,wholesale,train,11.603168735394341,109500.0
2024-01-10,20240110,112,250114,100,식량작물,찹쌀,wholesale,train,11.603168735394341,109500.0
2025-01-02,20250102,112,250114,100,식량작물,찹쌀,wholesale,test,11.870379801140956,143000.0
2025-01-03,20250103,112,250114,100,식량작물,찹쌀,wholesale,test,11.870379801140956,143000.0
2025-01-06,20250106,112,250114,100,식량작물,찹쌀,wholesale,test,11.870379801140956,143000.0
2025-01-07,20250107,112,250114,100,식량작물,찹쌀,wholesale,test,11.870379801140956,143000.0
2025-01-08,20250108,112,250114,100,식량작물,찹쌀,wholesale,test,11.891361900690473,146000.0
